"ab_idx","all_names"
"307","C53F12"
"308","C53F9"
"309","C63C7"
"310","C63C8"
"311","C63D3"
"312","C63D4"
"313","C63D6"
"314","C7A2"
"315","C7A4"
"316","C7A9"
"317","C7I5"
"318","C81A10"
"319","C81A11"
"320","C81A3"
"321","C81B10"
"322","C81B2"
"323","C81C10"
"324","C81C3"
"325","C81C6"
"326","C81D6"
"327","C81D7"
"328","C81D9"
"329","C81E12"
"330","C81E2"
"331","C81E3"
"332","C81E4"
"333","C81E9"
"334","C81F5"
"335","C81G1"
"336","C81G10"
"337","C81G11"
"338","C81G5"
"339","C81G9"
"340","C81H11"
"341","C81H2"
"342","C81H4"
"343","C81H5"
"344","C81H7"
"345","C83A10"
"346","C83A4"
"347","C83A5"
"348","C83A7"
"349","C83A8"
"350","C83B10"
"351","C83B5"
"352","C83B6"
"353","C83B7"
"354","C83B8"
"355","C882C12"
"356","C882C6"
"357","C89A10"
"358","C89A5"
"359","C93D1"
"360","C93D10"
"361","C93D6"
"362","C93D9"
"363","C93E12"
"364","C98C7"
"365","CA1"
"366","CA521"
"367","CC10.1"
"368","CC10.2"
"369","CC10.3"
"370","CC12.1"
"371","CC12.10"
"372","CC12.11"
"373","CC12.12"
"374","CC12.13"
"375","CC12.14"
"376","CC12.15"
"377","CC12.16"
"378","CC12.17"
"379","CC12.18"
"380","CC12.19"
"381","CC12.2"
"382","CC12.20"
"383","CC12.21"
"384","CC12.22"
"385","CC12.23"
"386","CC12.24"
"387","CC12.25"
"388","CC12.26"
"389","CC12.27"
"390","CC12.28"
"391","CC12.3"
"392","CC12.4"
"393","CC12.5"
"394","CC12.6"
"395","CC12.7"
"396","CC12.8"
"397","CC12.9"
"398","CC36.1"
"399","CC36.2"
"400","CC36.3"
"401","CC36.4"
"402","CC36.5"
"403","CC36.6"
"404","CC40.1"
"405","CC40.2"
"406","CC40.3"
"407","CC40.4"
"408","CC40.5"
"409","CC40.6"
"410","CC40.7"
"411","CC40.8"
"412","CC6.29"
"413","CC6.30"
"414","CC6.31"
"415","CC6.32"
"416","CC6.33"
"417","CC9.1"
"418","CC9.2"
"419","CC9.3"
"420","CM32"
"421","COV2-2006"
"422","COV2-2007"
"423","COV2-2009"
"424","COV2-2011"
"425","COV2-2013"
"426","COV2-2015"
"427","COV2-2016"
"428","COV2-2017"
"429","COV2-2021"
"430","COV2-2022"
"431","COV2-2025"
"432","COV2-2026"
"433","COV2-2027"
"434","COV2-2028"
"435","COV2-2029"
"436","COV2-2031"
"437","COV2-2032"
"438","COV2-2033"
"439","COV2-2034"
"440","COV2-2035"
"441","COV2-2037"
"442","COV2-2039"
"443","COV2-2041"
"444","COV2-2046"
"445","COV2-2050"
"446","COV2-2051"
"447","COV2-2054"
"448","COV2-2055"
"449","COV2-2064"
"450","COV2-2068"
"451","COV2-2070"
"452","COV2-2072"
"453","COV2-2078"
"454","COV2-2080"
"455","COV2-2081"
"456","COV2-2082"
"457","COV2-2083"
"458","COV2-2094"
"459","COV2-2096"
"460","COV2-2097"
"461","COV2-2098"
"462","COV2-2103"
"463","COV2-2108"
"464","COV2-2110"
"465","COV2-2111"
"466","COV2-2113"
"467","COV2-2114"
"468","COV2-2128"
"469","COV2-2132"
"470","COV2-2137"
"471","COV2-2142"
"472","COV2-2143"
"473","COV2-2146"
"474","COV2-2147"
"475","COV2-2150"
"476","COV2-2151"
"477","COV2-2158"
"478","COV2-2159"
"479","COV2-2160"
"480","COV2-2164"
"481","COV2-2165"
"482","COV2-2166"
"483","COV2-2169"
"484","COV2-2171"
"485","COV2-2173"
"486","COV2-2175"
"487","COV2-2177"
"488","COV2-2178"
"489","COV2-2183"
"490","COV2-2187"
"491","COV2-2189"
"492","COV2-2190"
"493","COV2-2191"
"494","COV2-2195"
"495","COV2-2197"
"496","COV2-2199"
"497","COV2-2203"
"498","COV2-2207"
"499","COV2-2210"
"500","COV2-2212"
"501","COV2-2214"
"502","COV2-2215"
"503","COV2-2216"
"504","COV2-2218"
"505","COV2-2222"
"506","COV2-2224"
"507","COV2-2226"
"508","COV2-2227"
"509","COV2-2228"
"510","COV2-2231"
"511","COV2-2235"
"512","COV2-2238"
"513","COV2-2239"
