"ab_idx","chain","V gene","source"
"2473","L","IGKV3D-20","collected"
"2474","H","IGHV3-66","collected"
"2474","L","IGLV2-14","collected"
"2475","H","IGHV5-51","collected"
"2475","L","IGLV1-44","collected"
"2476","H","IGHV3-66","collected"
"2476","L","IGKV4-1","collected"
"2477","H","IGHV3-7","collected"
"2477","L","IGLV6-57","collected"
"2478","H","IGHV3-66","collected"
"2478","L","IGKV3D-20","collected"
"2479","H","IGHV1-8","collected"
"2479","L","IGLV1-40","collected"
"2480","H","IGHV3-66","collected"
"2480","L","IGLV2-14","collected"
"2481","H","IGHV4-61","collected"
"2481","L","IGKV4-1","collected"
"2482","H","IGHV3-30","collected"
"2482","L","IGKV1-9","collected"
"2483","H","IGHV1-2","collected"
"2483","L","IGKV1-16","collected"
"2484","H","IGHV1-2","collected"
"2484","L","IGKV2-18","collected"
"2485","H","IGHV4-4","collected"
"2485","L","IGKV1-5","collected"
"2486","H","IGHV3-9","collected"
"2486","L","IGLV3-21","collected"
"2499","H","IGHV3-30","collected"
"2499","L","IGKV1-39","collected"
"24","H","IGHV3-33","collected"
"24","L","IGLV6-57","collected"
"2500","H","IGHV3-66","collected"
"2500","L","IGKV3D-20","collected"
"2501","H","IGHV1-2","collected"
"2501","L","IGKV1-33","collected"
"2502","H","IGHV1-58","collected"
"2502","L","IGKV3D-20","collected"
"2503","H","IGHV3-11","collected"
"2503","L","IGLV1-44","collected"
"2504","H","IGHV3-30","collected"
"2504","L","IGKV1-5","collected"
"2505","H","IGHV1-2","collected"
"2505","L","IGLV2-8","collected"
"2506","H","IGHV3-30","collected"
"2506","L","IGKV1-39","collected"
"2507","H","IGHV1-69","collected"
"2507","L","IGKV3-11","collected"
"2508","H","IGHV3-30","collected"
"2508","L","IGKV1-33","collected"
"2509","H","IGHV3-9","collected"
"2509","L","IGKV3-11","collected"
"250","H","IGHV3-23","collected"
"250","L","IGLV2-14","collected"
"2510","H","IGHV3-30","collected"
"2510","L","IGKV1-39","collected"
"2511","H","IGHV1-46","collected"
"2511","L","IGLV3-21","collected"
"2512","H","IGHV4-31","collected"
"2512","L","IGKV2-18","collected"
"2513","H","IGHV4-39","collected"
"2513","L","IGKV1-5","collected"
"2514","H","IGHV3-30","collected"
"2514","L","IGKV1-5","collected"
"2515","H","IGHV4-31","collected"
"2515","L","IGKV2-18","collected"
"2516","H","IGHV3-30","collected"
"2516","L","IGKV1-5","collected"
"2517","H","IGHV3-13","collected"
"2517","L","IGKV1-39","collected"
"2518","H","IGHV5-51","collected"
"2518","L","IGLV1-40","collected"
"2520","H","IGHV3-7","collected"
"2520","L","IGLV3-25","collected"
"2521","H","IGHV4-34","collected"
"2521","L","IGKV2-18","collected"
"2522","H","IGHV1-58","collected"
"2522","L","IGKV3D-20","collected"
"2523","H","IGHV3-30","collected"
"2523","L","IGLV6-57","collected"
"2524","H","IGHV3-15","collected"
"2524","L","IGLV3-21","collected"
"2525","H","IGHV1-58","collected"
"2525","L","IGKV3D-20","collected"
"2526","H","IGHV3-48","collected"
"2526","L","IGLV3-21","collected"
"2527","H","IGHV3-48","collected"
"2527","L","IGLV3-21","collected"
"2528","H","IGHV3-9","collected"
"2528","L","IGKV3-11","collected"
"2529","H","IGHV4-39","collected"
"2529","L","IGLV2-8","collected"
"252","H","IGHV3-30","collected"
"252","L","IGLV3-21","collected"
"2530","H","IGHV4-61","collected"
"2530","L","IGKV1-5","collected"
"2531","H","IGHV4-61","collected"
"2531","L","IGKV1-5","collected"
"2532","H","IGHV3-66","collected"
"2532","L","IGLV2-14","collected"
"2533","H","IGHV3-66","collected"
"2533","L","IGLV2-14","collected"
"2534","H","IGHV3-66","collected"
"2534","L","IGLV2-14","collected"
"2535","H","IGHV3-66","collected"
"2535","L","IGLV2-14","collected"
"2536","H","IGHV3-66","collected"
"2536","L","IGLV2-14","collected"
"2537","H","IGHV3-66","collected"
"2537","L","IGLV2-23","collected"
"2538","H","IGHV1-2","collected"
"2538","L","IGLV2-14","collected"
"2539","H","IGHV1-2","collected"
"2539","L","IGLV2-14","collected"
"2540","H","IGHV1-2","collected"
"2540","L","IGLV2-14","collected"
"2541","H","IGHV3-66","collected"
"2541","L","IGKV3-15","collected"
"2542","H","IGHV3-21","collected"
"2542","L","IGLV6-57","collected"
"2543","H","IGHV5-51","collected"
"2543","L","IGLV3-21","collected"
"2544","H","IGHV3-23","collected"
"2544","L","IGLV2-23","collected"
"2545","H","IGHV4-31","collected"
"2545","L","IGKV1-33","collected"
"2546","H","IGHV3-66","collected"
"2546","L","IGKV1-9","collected"
"2547","H","IGHV3-30","collected"
"2547","L","IGKV4-1","collected"
"2548","H","IGHV3-33","collected"
"2548","L","IGLV2-11","collected"
"2549","H","IGHV1-69","collected"
"2549","L","IGKV3D-20","collected"
"2550","H","IGHV3-30","collected"
"2550","L","IGKV1-5","collected"
"2551","H","IGHV4-39","collected"
"2551","L","IGKV1-39","collected"
"2552","H","IGHV6-1","collected"
"2552","L","IGKV1-12","collected"
"2553","H","IGHV1-3","collected"
"2553","L","IGLV3-21","collected"
"2554","H","IGHV4-34","collected"
"2554","L","IGLV3-21","collected"
"2555","H","IGHV3-30","collected"
"2555","L","IGLV2-23","collected"
"2556","H","IGHV5-51","collected"
"2556","L","IGLV1-40","collected"
"2557","H","IGHV3-21","collected"
"2557","L","IGLV4-69","collected"
"2558","H","IGHV4-4","collected"
"2558","L","IGLV1-40","collected"
"2559","H","IGHV4-4","collected"
"2559","L","IGLV1-40","collected"
"255","H","IGHV5-51","collected"
"255","L","IGKV1-27","collected"
"2560","H","IGHV1-46","collected"
"2560","L","IGLV1-40","collected"
"2561","H","IGHV3-30","collected"
"2561","L","IGKV1-9","collected"
"2562","H","IGHV3-30","collected"
"2562","L","IGKV1-9","collected"
"2563","H","IGHV1-69","collected"
"2563","L","IGLV1-40","collected"
"2564","H","IGHV1-69","collected"
"2564","L","IGLV1-40","collected"
"2565","H","IGHV4-59","collected"
"2565","L","IGLV1-51","collected"
"2566","H","IGHV4-59","collected"
"2566","L","IGLV1-51","collected"
"2567","H","IGHV3-30","collected"
"2567","L","IGKV1-39","collected"
"2568","H","IGHV3-15","collected"
"2568","L","IGKV2-28","collected"
"2569","H","IGHV4-31","collected"
"2569","L","IGKV2-28","collected"
"2570","H","IGHV3-66","collected"
"2570","L","IGKV3D-20","collected"
"2571","H","IGHV3-66","collected"
"2571","L","IGKV3D-20","collected"
"2572","H","IGHV4-30-4","collected"
"2572","L","IGLV2-11","collected"
"2573","H","IGHV4-30-4","collected"
"2573","L","IGLV2-11","collected"
"2574","H","IGHV3-66","collected"
"2574","L","IGKV1-33","collected"
"2575","H","IGHV3-30","collected"
"2575","L","IGKV1-27","collected"
"2576","H","IGHV1-69","collected"
"2576","L","IGKV1-16","collected"
"2577","H","IGHV1-69","collected"
"2577","L","IGKV1-16","collected"
"2578","H","IGHV3-66","collected"
"2578","L","IGLV2-23","collected"
"2579","H","IGHV3-66","collected"
"2579","L","IGLV2-23","collected"
"257","H","IGHV3-30","collected"
"257","L","IGLV1-40","collected"
"2580","H","IGHV3-66","collected"
"2580","L","IGKV3D-20","collected"
"2581","H","IGHV3-30","collected"
"2581","L","IGKV1-27","collected"
"2582","H","IGHV3-30","collected"
"2582","L","IGKV1-27","collected"
"2583","H","IGHV1-69","collected"
"2583","L","IGKV3-15","collected"
"2584","H","IGHV1-69","collected"
"2584","L","IGKV3-15","collected"
"2585","H","IGHV4-31","collected"
"2585","L","IGKV3-15","collected"
"2586","H","IGHV4-4","collected"
"2586","L","IGKV1-9","collected"
"2587","H","IGHV4-4","collected"
"2587","L","IGLV2-14","collected"
"2588","H","IGHV3-33","collected"
"2588","L","IGLV1-40","collected"
"2589","H","IGHV3-30","collected"
"2589","L","IGLV6-57","collected"
"2590","H","IGHV3-66","collected"
"2590","L","IGKV3D-20","collected"
"2591","H","IGHV1-46","collected"
"2591","L","IGKV1-39","collected"
"2592","H","IGHV1-46","collected"
"2592","L","IGKV3-11","collected"
"2593","H","IGHV1-46","collected"
"2593","L","IGLV2-14","collected"
"2594","H","IGHV1-46","collected"
"2594","L","IGKV3D-20","collected"
"2595","H","IGHV3-30","collected"
"2595","L","IGLV6-57","collected"
"2596","H","IGHV3-9","collected"
"2596","L","IGKV1-12","collected"
"2597","H","IGHV3-30","collected"
"2597","L","IGKV1-39","collected"
"2598","H","IGHV3-66","collected"
"2598","L","IGKV1-33","collected"
"2599","H","IGHV3-30","collected"
"2599","L","IGKV1-39","collected"
"25","H","IGHV3-23","collected"
"25","L","IGKV1-5","collected"
"2600","H","IGHV3-30","collected"
"2600","L","IGKV1-39","collected"
"2601","H","IGHV4-34","collected"
"2601","L","IGKV3D-20","collected"
"2602","H","IGHV3-66","collected"
"2602","L","IGKV1-9","collected"
"2603","H","IGHV4-39","collected"
"2603","L","IGLV2-8","collected"
"2604","H","IGHV3-15","collected"
"2604","L","IGKV1-39","collected"
"2605","H","IGHV1-69","collected"
"2605","L","IGKV3D-20","collected"
"2606","H","IGHV4-39","collected"
"2606","L","IGKV1-39","collected"
"2607","H","IGHV3-66","collected"
"2607","L","IGKV3D-20","collected"
"2608","H","IGHV3-66","collected"
"2608","L","IGKV3D-20","collected"
"2609","H","IGHV1-46","collected"
"2609","L","IGLV3-21","collected"
"2610","H","IGHV1-46","collected"
"2610","L","IGLV3-21","collected"
"2611","H","IGHV4-34","collected"
"2611","L","IGKV3D-20","collected"
"2612","H","IGHV3-33","collected"
"2612","L","IGKV2-30","collected"
"2613","H","IGHV1-46","collected"
"2613","L","IGKV3-11","collected"
"2614","H","IGHV1-46","collected"
"2614","L","IGKV3-11","collected"
"2615","H","IGHV3-9","collected"
"2615","L","IGLV2-14","collected"
"2616","H","IGHV4-61","collected"
"2616","L","IGLV3-21","collected"
"2617","H","IGHV4-61","collected"
"2617","L","IGLV3-21","collected"
"2618","H","IGHV5-51","collected"
"2618","L","IGKV1D-13","collected"
"2619","H","IGHV5-51","collected"
"2619","L","IGKV1D-13","collected"
"261","H","IGHV3-30","collected"
"261","L","IGLV3-21","collected"
"2620","H","IGHV5-51","collected"
"2620","L","IGLV1-44","collected"
"2621","H","IGHV5-51","collected"
"2621","L","IGLV1-44","collected"
"2622","H","IGHV3-66","collected"
"2622","L","IGLV2-8","collected"
"2623","H","IGHV3-9","collected"
"2623","L","IGLV2-23","collected"
"2624","H","IGHV3-9","collected"
"2624","L","IGLV2-23","collected"
"2625","H","IGHV1-24","collected"
"2625","L","IGKV1-5","collected"
"2626","H","IGHV3-23","collected"
"2626","L","IGKV1-39","collected"
"2627","H","IGHV3-23","collected"
"2627","L","IGKV1-39","collected"
"2628","H","IGHV3-30","collected"
"2628","L","IGKV1-5","collected"
"2629","H","IGHV3-30","collected"
"2629","L","IGKV1-5","collected"
"262","H","IGHV1-69","collected"
"262","L","IGKV1-5","collected"
"2630","H","IGHV1-69","collected"
"2630","L","IGLV2-11","collected"
"2631","H","IGHV3-66","collected"
"2631","L","IGKV1-9","collected"
"2632","H","IGHV3-66","collected"
"2632","L","IGKV1-9","collected"
"2633","H","IGHV4-61","collected"
"2633","L","IGLV3-21","collected"
"2634","H","IGHV3-66","collected"
"2634","L","IGKV1-12","collected"
"2635","H","IGHV3-13","collected"
"2635","L","IGKV1-39","collected"
"2636","H","IGHV3-13","collected"
"2636","L","IGKV1-39","collected"
"2637","H","IGHV5-51","collected"
"2637","L","IGLV6-57","collected"
"2638","H","IGHV3-66","collected"
"2638","L","IGLV2-14","collected"
"2639","H","IGHV3-9","collected"
"2639","L","IGLV4-60","collected"
"2640","H","IGHV1-46","collected"
"2640","L","IGKV3D-20","collected"
"2641","H","IGHV3-30","collected"
"2641","L","IGKV4-1","collected"
"2642","H","IGHV1-18","collected"
"2642","L","IGLV1-47","collected"
"2643","H","IGHV4-4","collected"
"2643","L","IGLV2-14","collected"
"2644","H","IGHV5-51","collected"
"2644","L","IGKV1-5","collected"
"2645","H","IGHV3-30","collected"
"2645","L","IGLV2-14","collected"
"2646","H","IGHV3-33","collected"
"2646","L","IGKV1-5","collected"
"2647","H","IGHV3-66","collected"
"2647","L","IGLV1-40","collected"
"2648","H","IGHV3-49","collected"
"2648","L","IGKV2-28","collected"
"2649","H","IGHV3-30","collected"
"2649","L","IGLV6-57","collected"
"2650","H","IGHV3-30","collected"
"2650","L","IGKV1D-13","collected"
"2651","H","IGHV1-46","collected"
"2651","L","IGLV2-8","collected"
"2652","H","IGHV1-46","collected"
"2652","L","IGLV2-8","collected"
"2653","H","IGHV3-30","collected"
"2653","L","IGLV1-51","collected"
"2654","H","IGHV1-46","collected"
"2654","L","IGKV1-9","collected"
"2655","H","IGHV3-15","collected"
"2655","L","IGKV1-5","collected"
"2656","H","IGHV3-7","collected"
"2656","L","IGLV6-57","collected"
"2657","H","IGHV4-39","collected"
"2657","L","IGLV2-11","collected"
"2658","H","IGHV3-30","collected"
"2658","L","IGLV3-21","collected"
"2659","H","IGHV4-31","collected"
"2659","L","IGLV2-23","collected"
"2660","H","IGHV3-30","collected"
"2660","L","IGLV3-21","collected"
"2661","H","IGHV1-46","collected"
"2661","L","IGLV2-14","collected"
"2662","H","IGHV3-30","collected"
"2662","L","IGKV1-39","collected"
"2663","H","IGHV3-30","collected"
"2663","L","IGLV4-69","collected"
"2664","H","IGHV3-33","collected"
"2664","L","IGKV3-15","collected"
"2665","H","IGHV3-13","collected"
"2665","L","IGKV1-39","collected"
"2666","H","IGHV4-39","collected"
"2666","L","IGLV2-14","collected"
"2667","H","IGHV3-53","collected"
"2667","L","IGLV2-8","collected"
"2668","H","IGHV3-7","collected"
"2668","L","IGLV6-57","collected"
"2669","H","IGHV4-59","collected"
"2669","L","IGLV6-57","collected"
"2670","H","IGHV4-34","collected"
"2670","L","IGLV1-40","collected"
"2671","H","IGHV1-69","collected"
"2671","L","IGLV2-11","collected"
"2672","H","IGHV4-4","collected"
"2672","L","IGKV1-16","collected"
"2673","H","IGHV1-46","collected"
"2673","L","IGLV2-14","collected"
"2674","H","IGHV4-39","collected"
"2674","L","IGKV1-27","collected"
"2675","H","IGHV4-39","collected"
"2675","L","IGKV1-27","collected"
"2676","H","IGHV5-10-1","collected"
"2676","L","IGKV1-39","collected"
"2677","H","IGHV1-69","collected"
"2677","L","IGLV2-14","collected"
"2678","H","IGHV1-18","collected"
"2678","L","IGKV3-15","collected"
"2679","H","IGHV3-66","collected"
"2679","L","IGKV1-33","collected"
"2680","H","IGHV4-59","collected"
"2680","L","IGKV1-5","collected"
"2681","H","IGHV4-31","collected"
"2681","L","IGLV1-40","collected"
"2682","H","IGHV1-69","collected"
"2682","L","IGKV3-15","collected"
"2683","H","IGHV4-4","collected"
"2683","L","IGKV1-27","collected"
"2684","H","IGHV4-4","collected"
"2684","L","IGKV1-16","collected"
"2685","H","IGHV3-66","collected"
"2685","L","IGKV1-9","collected"
"2686","H","IGHV3-66","collected"
"2686","L","IGKV1-9","collected"
"2687","H","IGHV4-38-2","collected"
"2687","L","IGLV6-57","collected"
"2688","H","IGHV3-23","collected"
"2688","L","IGLV3-21","collected"
"2689","H","IGHV1-2","collected"
"2689","L","IGLV2-23","collected"
"2690","H","IGHV1-69","collected"
"2690","L","IGLV1-40","collected"
"2691","H","IGHV1-69","collected"
"2691","L","IGLV1-40","collected"
"2692","H","IGHV1-69","collected"
"2692","L","IGKV1-39","collected"
"2693","H","IGHV1-69","collected"
"2693","L","IGKV1-12","collected"
"2694","H","IGHV3-23","collected"
"2694","L","IGKV1-39","collected"
"2695","H","IGHV3-30","collected"
"2695","L","IGLV6-57","collected"
"2696","H","IGHV4-30-4","collected"
"2696","L","IGLV3-21","collected"
"2697","H","IGHV3-66","collected"
"2697","L","IGKV1-9","collected"
"2698","H","IGHV3-13","collected"
"2698","L","IGKV1-39","collected"
"2699","H","IGHV1-69","collected"
"2699","L","IGKV3D-20","collected"
"26","H","IGHV1-8","collected"
"26","L","IGKV1-39","collected"
"2700","H","IGHV3-66","collected"
"2700","L","IGKV1-9","collected"
"2701","H","IGHV3-64D","collected"
"2701","L","IGKV1-39","collected"
"2702","H","IGHV1-46","collected"
"2702","L","IGKV1-17","collected"
"2703","H","IGHV4-59","collected"
"2703","L","IGLV6-57","collected"
"2704","H","IGHV4-39","collected"
"2704","L","IGLV6-57","collected"
"2705","H","IGHV3-13","collected"
"2705","L","IGKV1-39","collected"
"2706","H","IGHV3-11","collected"
"2706","L","IGLV3-21","collected"
"2707","H","IGHV3-30","collected"
"2707","L","IGLV3-21","collected"
"2708","H","IGHV3-66","collected"
"2708","L","IGKV1-9","collected"
"2709","H","IGHV5-10-1","collected"
"2709","L","IGKV1-39","collected"
"2710","H","IGHV3-30","collected"
"2710","L","IGKV1-39","collected"
"2711","H","IGHV3-53","collected"
"2711","L","IGKV1-9","collected"
"2712","H","IGHV3-66","collected"
"2712","L","IGKV1-27","collected"
"2713","H","IGHV1-69","collected"
"2713","L","IGKV1-33","collected"
"2714","H","IGHV3-30","collected"
"2714","L","IGKV1-39","collected"
"2715","H","IGHV4-34","collected"
"2715","L","IGKV1-39","collected"
"2716","H","IGHV1-69","collected"
"2716","L","IGLV1-40","collected"
"2717","H","IGHV3-48","collected"
"2717","L","IGKV3-11","collected"
"2718","H","IGHV3-30","collected"
"2718","L","IGKV2-30","collected"
"2719","H","IGHV3-64D","collected"
"2719","L","IGLV3-21","collected"
"271","H","IGHV3-66","collected"
"271","L","IGKV1-9","collected"
"2720","H","IGHV4-38-2","collected"
"2720","L","IGLV3-1","collected"
"2721","H","IGHV3-30","collected"
"2721","L","IGLV1-40","collected"
"2722","H","IGHV1-69","collected"
"2722","L","IGLV1-40","collected"
"2723","H","IGHV1-69","collected"
"2723","L","IGLV1-40","collected"
"2724","H","IGHV3-11","collected"
"2724","L","IGLV6-57","collected"
"2725","H","IGHV4-59","collected"
"2725","L","IGLV6-57","collected"
"2726","H","IGHV3-53","collected"
"2726","L","IGKV1-39","collected"
"2727","H","IGHV1-58","collected"
"2727","L","IGKV3D-20","collected"
"2728","H","IGHV4-39","collected"
"2728","L","IGLV6-57","collected"
"2729","H","IGHV4-39","collected"
"2729","L","IGLV6-57","collected"
"2730","H","IGHV4-39","collected"
"2730","L","IGLV6-57","collected"
"2731","H","IGHV4-31","collected"
"2731","L","IGLV3-21","collected"
"2732","H","IGHV1-46","collected"
"2732","L","IGLV1-47","collected"
"2733","H","IGHV1-46","collected"
"2733","L","IGKV3-11","collected"
"2734","H","IGHV1-46","collected"
"2734","L","IGKV1-6","collected"
"2735","H","IGHV5-51","collected"
"2735","L","IGLV3-21","collected"
"2736","H","IGHV4-59","collected"
"2736","L","IGLV6-57","collected"
"2737","H","IGHV4-4","collected"
"2737","L","IGLV1-47","collected"
"2738","H","IGHV3-30","collected"
"2738","L","IGLV3-21","collected"
"2739","H","IGHV3-30","collected"
"2739","L","IGLV3-21","collected"
"2740","H","IGHV3-30","collected"
"2740","L","IGKV1-39","collected"
"2741","H","IGHV3-23","collected"
"2741","L","IGLV6-57","collected"
"2742","H","IGHV4-39","collected"
"2742","L","IGKV1-27","collected"
"2743","H","IGHV3-66","collected"
"2743","L","IGKV1-9","collected"
"2744","H","IGHV1-46","collected"
"2744","L","IGKV1-6","collected"
"2745","H","IGHV1-2","collected"
"2745","L","IGLV1-44","collected"
"2746","H","IGHV4-59","collected"
"2746","L","IGKV1-16","collected"
"2747","H","IGHV3-49","collected"
"2747","L","IGLV1-44","collected"
"2748","H","IGHV3-13","collected"
"2748","L","IGKV1-39","collected"
"2749","H","IGHV1-46","collected"
"2749","L","IGKV3-11","collected"
"2750","H","IGHV4-39","collected"
"2750","L","IGKV3-15","collected"
"2751","H","IGHV3-23","collected"
"2751","L","IGKV3D-20","collected"
"2752","H","IGHV3-66","collected"
"2752","L","IGKV1-9","collected"
"2753","H","IGHV3-30","collected"
"2753","L","IGKV1-27","collected"
"2754","H","IGHV4-59","collected"
"2754","L","IGKV2-18","collected"
"2755","H","IGHV1-46","collected"
"2755","L","IGKV1-6","collected"
"2756","H","IGHV3-9","collected"
"2756","L","IGKV3-15","collected"
"2757","H","IGHV4-59","collected"
"2757","L","IGLV7-46","collected"
"2758","H","IGHV1-46","collected"
"2758","L","IGKV1-27","collected"
"2759","H","IGHV5-10-1","collected"
"2759","L","IGLV3-21","collected"
"2760","H","IGHV3-13","collected"
"2760","L","IGKV1-39","collected"
"2761","H","IGHV1-69","collected"
"2761","L","IGLV3-21","collected"
"2762","H","IGHV1-46","collected"
"2762","L","IGLV3-21","collected"
"2763","H","IGHV3-9","collected"
"2763","L","IGLV2-14","collected"
"2764","H","IGHV3-33","collected"
"2764","L","IGLV1-47","collected"
"2765","H","IGHV3-66","collected"
"2765","L","IGKV1-9","collected"
"2766","H","IGHV3-66","collected"
"2766","L","IGKV1-9","collected"
"2767","H","IGHV4-34","collected"
"2767","L","IGLV3-25","collected"
"2768","H","IGHV3-66","collected"
"2768","L","IGKV1-27","collected"
"2769","H","IGHV3-33","collected"
"2769","L","IGKV3D-20","collected"
"2770","H","IGHV3-7","collected"
"2770","L","IGLV6-57","collected"
"2771","H","IGHV3-30","collected"
"2771","L","IGKV1-33","collected"
"2772","H","IGHV1-69","collected"
"2772","L","IGKV3-15","collected"
"2773","H","IGHV3-66","collected"
"2773","L","IGKV1-39","collected"
"2774","H","IGHV3-30","collected"
"2774","L","IGLV1-40","collected"
"2775","H","IGHV3-30","collected"
"2775","L","IGKV1D-13","collected"
"2776","H","IGHV3-13","collected"
"2776","L","IGKV4-1","collected"
"2777","H","IGHV3-30","collected"
"2777","L","IGLV1-40","collected"
"2778","H","IGHV5-51","collected"
"2778","L","IGLV1-44","collected"
"2779","H","IGHV1-24","collected"
"2779","L","IGLV3-25","collected"
"277","H","IGHV6-1","collected"
"277","L","IGLV2-14","collected"
"2780","H","IGHV5-51","collected"
"2780","L","IGLV1-44","collected"
"2781","H","IGHV4-4","collected"
"2781","L","IGLV2-14","collected"
"2782","H","IGHV3-9","collected"
"2782","L","IGLV2-14","collected"
"2783","H","IGHV3-66","collected"
"2783","L","IGKV1-27","collected"
"2784","H","IGHV3-13","collected"
"2784","L","IGKV1-39","collected"
"2785","H","IGHV5-51","collected"
"2785","L","IGLV1-44","collected"
"2786","H","IGHV3-13","collected"
"2786","L","IGKV1-39","collected"
"2787","H","IGHV3-66","collected"
"2787","L","IGKV1-16","collected"
"2788","H","IGHV3-66","collected"
"2788","L","IGKV3D-20","collected"
"2789","H","IGHV3-9","collected"
"2789","L","IGLV3-21","collected"
"278","H","IGHV4-34","collected"
"278","L","IGKV1-27","collected"
"2790","H","IGHV5-51","collected"
"2790","L","IGLV3-21","collected"
"2791","H","IGHV3-30","collected"
"2791","L","IGKV1-39","collected"
"2792","H","IGHV1-24","collected"
"2792","L","IGLV3-25","collected"
"2793","H","IGHV3-13","collected"
"2793","L","IGKV4-1","collected"
"2794","H","IGHV3-30","collected"
"2794","L","IGKV1D-13","collected"
"2795","H","IGHV3-30","collected"
"2795","L","IGLV1-40","collected"
"2796","H","IGHV5-51","collected"
"2796","L","IGLV1-44","collected"
"2797","H","IGHV5-51","collected"
"2797","L","IGLV1-44","collected"
"2798","H","IGHV3-33","collected"
"2798","L","IGLV2-14","collected"
"2799","H","IGHV3-9","collected"
"2799","L","IGLV1-40","collected"
"279","H","IGHV4-34","collected"
"279","L","IGKV1-27","collected"
"27","H","IGHV1-69","collected"
"27","L","IGKV2-28","collected"
"2800","H","IGHV3-53","collected"
"2800","L","IGKV1-5","collected"
"2801","H","IGHV3-23","collected"
"2801","L","IGLV3-21","collected"
"2802","H","IGHV3-66","collected"
"2802","L","IGLV3-21","collected"
"2803","H","IGHV5-51","collected"
"2803","L","IGKV1-5","collected"
"2804","H","IGHV3-66","collected"
"2804","L","IGKV1-33","collected"
"2805","H","IGHV3-9","collected"
"2805","L","IGKV1-27","collected"
"2806","H","IGHV4-59","collected"
"2806","L","IGLV3-10","collected"
"2807","H","IGHV3-30","collected"
"2807","L","IGLV2-23","collected"
"2808","H","IGHV3-30","collected"
"2808","L","IGKV1-5","collected"
"2809","H","IGHV1-2","collected"
"2809","L","IGLV2-14","collected"
"2810","H","IGHV4-39","collected"
"2810","L","IGLV2-23","collected"
"2811","H","IGHV1-46","collected"
"2811","L","IGLV2-11","collected"
"2812","H","IGHV3-13","collected"
"2812","L","IGKV1-39","collected"
"2814","H","IGHV3-66","collected"
"2814","L","IGKV3D-20","collected"
"2815","H","IGHV5-51","collected"
"2815","L","IGKV3D-20","collected"
"2816","H","IGHV3-66","collected"
"2816","L","IGKV3D-20","collected"
"2817","H","IGHV1-69","collected"
"2817","L","IGKV2-28","collected"
"2818","H","IGHV3-33","collected"
"2818","L","IGLV1-44","collected"
"2819","H","IGHV4-39","collected"
"2819","L","IGKV1-27","collected"
"2820","H","IGHV4-59","collected"
"2820","L","IGLV6-57","collected"
"2821","H","IGHV4-34","collected"
"2821","L","IGKV4-1","collected"
"2822","H","IGHV3-9","collected"
"2822","L","IGLV3-21","collected"
"2823","H","IGHV3-30","collected"
"2823","L","IGKV1-16","collected"
"2824","H","IGHV3-7","collected"
"2824","L","IGLV6-57","collected"
"2825","H","IGHV4-39","collected"
"2825","L","IGLV1-40","collected"
"2826","H","IGHV3-13","collected"
"2826","L","IGLV2-14","collected"
"2827","H","IGHV4-39","collected"
"2827","L","IGLV2-14","collected"
"2828","H","IGHV4-39","collected"
"2828","L","IGLV2-11","collected"
"2829","H","IGHV3-66","collected"
"2829","L","IGKV1-9","collected"
"2830","H","IGHV3-9","collected"
"2830","L","IGKV3-15","collected"
"2831","H","IGHV3-53","collected"
"2831","L","IGKV1-39","collected"
"2832","H","IGHV4-4","collected"
"2832","L","IGKV3-11","collected"
"2833","H","IGHV1-69","collected"
"2833","L","IGKV3-15","collected"
"2834","H","IGHV3-30","collected"
"2834","L","IGKV1-27","collected"
"2835","H","IGHV3-30","collected"
"2835","L","IGKV3D-20","collected"
"2836","H","IGHV3-9","collected"
"2836","L","IGKV4-1","collected"
"2837","H","IGHV1-46","collected"
"2837","L","IGLV1-44","collected"
"2838","H","IGHV3-9","collected"
"2838","L","IGLV3-1","collected"
"2839","H","IGHV3-30","collected"
"2839","L","IGKV4-1","collected"
"2840","H","IGHV4-61","collected"
"2840","L","IGLV3-21","collected"
"2841","H","IGHV4-59","collected"
"2841","L","IGKV3-15","collected"
"2842","H","IGHV3-66","collected"
"2842","L","IGKV1-33","collected"
"2843","H","IGHV4-39","collected"
"2843","L","IGLV2-23","collected"
"2844","H","IGHV3-66","collected"
"2844","L","IGKV1-9","collected"
"2845","H","IGHV3-9","collected"
"2845","L","IGLV1-40","collected"
"2846","H","IGHV4-39","collected"
"2846","L","IGLV2-11","collected"
"2847","H","IGHV3-53","collected"
"2847","L","IGKV3-11","collected"
"2848","H","IGHV4-39","collected"
"2848","L","IGLV2-14","collected"
"2849","H","IGHV3-30","collected"
"2849","L","IGLV1-44","collected"
"2850","H","IGHV1-46","collected"
"2850","L","IGKV1-39","collected"
"2851","H","IGHV4-31","collected"
"2851","L","IGKV3-15","collected"
"2852","H","IGHV3-30","collected"
"2852","L","IGLV6-57","collected"
"2853","H","IGHV4-4","collected"
"2853","L","IGLV1-47","collected"
"2854","H","IGHV3-48","collected"
"2854","L","IGKV1-39","collected"
"2855","H","IGHV4-59","collected"
"2855","L","IGLV1-40","collected"
"2856","H","IGHV3-66","collected"
"2856","L","IGKV1-27","collected"
"2857","H","IGHV3-9","collected"
"2857","L","IGLV3-21","collected"
"2858","H","IGHV3-30","collected"
"2858","L","IGKV1-16","collected"
"2859","H","IGHV4-31","collected"
"2859","L","IGKV3-15","collected"
"285","H","IGHV3-23","collected"
"285","L","IGKV2-30","collected"
