"ab_idx","chain","V gene","source"
"1077","H","IGHV3-30","collected"
"1077","L","IGKV1-27","collected"
"1078","H","IGHV3-11","collected"
"1078","L","IGKV3-15","collected"
"1079","H","IGHV3-30","collected"
"1079","L","IGKV1-27","collected"
"107","H","IGHV4-39","collected"
"107","L","IGKV1D-13","collected"
"1080","H","IGHV3-30","collected"
"1080","L","IGKV3-11","collected"
"1081","H","IGHV1-24","collected"
"1081","L","IGKV1-39","collected"
"1082","H","IGHV3-30","collected"
"1082","L","IGKV2D-29","collected"
"1083","H","IGHV1-69","collected"
"1083","L","IGLV1-40","collected"
"1084","H","IGHV3-21","collected"
"1084","L","IGKV1-12","collected"
"1085","H","IGHV3-9","collected"
"1085","L","IGKV3-15","collected"
"1086","H","IGHV3-66","collected"
"1086","L","IGKV3D-20","collected"
"1087","H","IGHV3-30","collected"
"1087","L","IGKV2D-29","collected"
"1088","H","IGHV3-9","collected"
"1088","L","IGKV2D-29","collected"
"1089","H","IGHV3-53","collected"
"1089","L","IGKV1-27","collected"
"108","H","IGHV6-1","collected"
"108","L","IGLV2-11","collected"
"1090","H","IGHV4-61","collected"
"1090","L","IGKV3-11","collected"
"1091","H","IGHV4-39","collected"
"1091","L","IGLV2-11","collected"
"1092","H","IGHV3-9","collected"
"1092","L","IGLV1-44","collected"
"1093","H","IGHV3-21","collected"
"1093","L","IGKV1-27","collected"
"1094","H","IGHV3-53","collected"
"1094","L","IGKV1-9","collected"
"1095","H","IGHV3-30","collected"
"1095","L","IGKV3D-20","collected"
"1096","H","IGHV1-18","collected"
"1096","L","IGKV1-27","collected"
"1097","H","IGHV3-21","collected"
"1097","L","IGKV2-28","collected"
"1098","H","IGHV3-30","collected"
"1098","L","IGKV1-5","collected"
"1099","H","IGHV3-66","collected"
"1099","L","IGKV1-17","collected"
"109","H","IGHV3-66","collected"
"109","L","IGKV3-15","collected"
"10","H","IGHV1-46","collected"
"10","L","IGKV3-11","collected"
"1100","H","IGHV3-66","collected"
"1100","L","IGLV4-69","collected"
"1101","H","IGHV3-30","collected"
"1101","L","IGKV1-27","collected"
"1102","H","IGHV4-39","collected"
"1102","L","IGLV1-40","collected"
"1103","H","IGHV1-69","collected"
"1103","L","IGLV1-40","collected"
"1104","H","IGHV1-18","collected"
"1104","L","IGKV1-5","collected"
"1105","H","IGHV3-13","collected"
"1105","L","IGLV2-14","collected"
"1106","H","IGHV3-21","collected"
"1106","L","IGKV3-15","collected"
"1107","H","IGHV1-24","collected"
"1107","L","IGKV1-9","collected"
"1108","H","IGHV3-74","collected"
"1108","L","IGLV3-1","collected"
"1109","H","IGHV1-58","collected"
"1109","L","IGKV3D-20","collected"
"1110","H","IGHV1-18","collected"
"1110","L","IGKV3D-20","collected"
"1111","H","IGHV3-66","collected"
"1111","L","IGKV1-27","collected"
"1112","H","IGHV3-30","collected"
"1112","L","IGKV4-1","collected"
"1113","H","IGHV1-58","collected"
"1113","L","IGKV3D-20","collected"
"1114","H","IGHV4-31","collected"
"1114","L","IGKV1-27","collected"
"1115","H","IGHV3-30","collected"
"1115","L","IGKV4-1","collected"
"1116","H","IGHV3-53","collected"
"1116","L","IGKV1-27","collected"
"1117","H","IGHV3-30","collected"
"1117","L","IGKV1-5","collected"
"1118","H","IGHV4-39","collected"
"1118","L","IGKV1-17","collected"
"1119","H","IGHV1-8","collected"
"1119","L","IGKV3-11","collected"
"111","H","IGHV3-48","collected"
"111","L","IGLV3-21","collected"
"1120","H","IGHV3-30","collected"
"1120","L","IGKV3-11","collected"
"1121","H","IGHV4-39","collected"
"1121","L","IGKV1-27","collected"
"1122","H","IGHV3-23","collected"
"1122","L","IGKV1-39","collected"
"1123","H","IGHV3-30","collected"
"1123","L","IGKV3D-20","collected"
"1124","H","IGHV3-30","collected"
"1124","L","IGLV1-44","collected"
"1125","H","IGHV3-66","collected"
"1125","L","IGKV1-13","collected"
"1126","H","IGHV3-11","collected"
"1126","L","IGKV1-33","collected"
"1127","H","IGHV1-2","collected"
"1127","L","IGLV3-10","collected"
"1128","H","IGHV1-2","collected"
"1128","L","IGKV1-33","collected"
"1129","H","IGHV4-34","collected"
"1129","L","IGLV2-14","collected"
"112","H","IGHV1-18","collected"
"112","L","IGKV3-11","collected"
"1130","H","IGHV1-2","collected"
"1130","L","IGKV2-40","collected"
"1131","H","IGHV5-51","collected"
"1131","L","IGKV3-15","collected"
"1132","H","IGHV3-48","collected"
"1132","L","IGKV3-11","collected"
"1133","H","IGHV3-9","collected"
"1133","L","IGLV1-44","collected"
"1134","H","IGHV3-21","collected"
"1134","L","IGKV1-5","collected"
"1135","H","IGHV3-33","collected"
"1135","L","IGLV3-21","collected"
"1136","H","IGHV1-24","collected"
"1136","L","IGKV2-24","collected"
"1137","H","IGHV4-30-2","collected"
"1137","L","IGLV2-8","collected"
"1138","H","IGHV3-9","collected"
"1138","L","IGKV3-11","collected"
"1139","H","IGHV4-30-4","collected"
"1139","L","IGLV6-57","collected"
"113","H","IGHV3-23","collected"
"113","L","IGKV1-12","collected"
"1140","H","IGHV1-18","collected"
"1140","L","IGKV1-5","collected"
"1141","H","IGHV3-66","collected"
"1141","L","IGKV1-39","collected"
"1142","H","IGHV1-69","collected"
"1142","L","IGKV1-5","collected"
"1143","H","IGHV3-30","collected"
"1143","L","IGKV1-39","collected"
"1144","H","IGHV4-39","collected"
"1144","L","IGLV2-11","collected"
"1145","H","IGHV3-13","collected"
"1145","L","IGKV1-39","collected"
"1149","H","IGHV3-30","collected"
"1149","L","IGKV3-15","collected"
"114","H","IGHV1-24","collected"
"114","L","IGLV1-47","collected"
"1150","H","IGHV3-21","collected"
"1150","L","IGKV3-15","collected"
"1151","H","IGHV1-2","collected"
"1151","L","IGKV3D-20","collected"
"1152","H","IGHV3-30","collected"
"1152","L","IGLV1-40","collected"
"1153","H","IGHV4-30-4","collected"
"1153","L","IGKV4-1","collected"
"1154","H","IGHV1-46","collected"
"1154","L","IGKV3D-20","collected"
"1155","H","IGHV3-30","collected"
"1155","L","IGKV3D-20","collected"
"1156","H","IGHV3-30","collected"
"1156","L","IGKV1-12","collected"
"1157","H","IGHV4-59","collected"
"1157","L","IGLV1-40","collected"
"1158","H","IGHV4-61","collected"
"1158","L","IGLV1-40","collected"
"1159","H","IGHV4-59","collected"
"1159","L","IGKV3D-20","collected"
"115","H","IGHV4-59","collected"
"115","L","IGLV6-57","collected"
"1160","H","IGHV4-39","collected"
"1160","L","IGKV3D-20","collected"
"1161","H","IGHV3-30","collected"
"1161","L","IGKV3D-20","collected"
"1162","H","IGHV3-30","collected"
"1162","L","IGKV3D-20","collected"
"1163","H","IGHV4-31","collected"
"1163","L","IGLV1-40","collected"
"1164","H","IGHV1-58","collected"
"1164","L","IGKV3D-20","collected"
"1165","H","IGHV3-30","collected"
"1165","L","IGKV1-39","collected"
"1166","H","IGHV3-48","collected"
"1166","L","IGKV3-11","collected"
"1167","H","IGHV4-31","collected"
"1167","L","IGKV1-39","collected"
"1168","H","IGHV3-30","collected"
"1168","L","IGKV1-5","collected"
"1169","H","IGHV3-30","collected"
"1169","L","IGKV3-15","collected"
"116","H","IGHV3-66","collected"
"116","L","IGKV1-9","collected"
"1170","H","IGHV3-30","collected"
"1170","L","IGKV1-17","collected"
"1171","H","IGHV3-33","collected"
"1171","L","IGKV1-5","collected"
"1172","H","IGHV1-69","collected"
"1172","L","IGKV1-33","collected"
"1173","H","IGHV1-69","collected"
"1173","L","IGKV3-15","collected"
"1174","H","IGHV3-66","collected"
"1174","L","IGKV1-9","collected"
"1175","H","IGHV1-18","collected"
"1175","L","IGLV2-23","collected"
